pairing,distance_nm,theta_deg,n,Q_nm_inv,phi_deg,max_ward_residual_norm,left_ward_residual_norm,right_ward_residual_norm
normal,200.0,15.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,20.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,30.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,50.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,80.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,100.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,150.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,200.0,30.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,20.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,30.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,50.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,80.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,100.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,150.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,200.0,30.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,20.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,30.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,50.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,80.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,100.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,150.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,200.0,30.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,20.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,30.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,50.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,80.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,100.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,150.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,200.0,30.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,20.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,30.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,50.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,80.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,100.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,150.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,200.0,30.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,20.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,30.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,50.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,80.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,100.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,150.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,200.0,45.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,20.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,30.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,50.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,80.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,100.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,150.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,200.0,45.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,20.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,30.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,50.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,80.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,100.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,150.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,200.0,45.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,20.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,30.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,50.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,80.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,100.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,150.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,200.0,45.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,20.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,30.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,50.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,80.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,100.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,150.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,200.0,45.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,20.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,30.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,50.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,80.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,100.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,150.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,200.0,60.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,20.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,30.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,50.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,80.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,100.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,150.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,200.0,60.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,20.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,30.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,50.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,80.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,100.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,150.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,200.0,60.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,20.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,30.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,50.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,80.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,100.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,150.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,200.0,60.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
normal,20.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,30.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,50.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,80.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,100.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,150.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,200.0,60.0,4,0.004166666666666667,45.0,0.0005109360508818416,0.0005109360508818416,0.0005109360508818416
normal,20.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,30.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,50.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,80.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,100.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,150.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,200.0,75.0,0,0.004166666666666667,45.0,0.0005109360508818417,0.0005109360508818417,0.0005109360508818417
normal,20.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,30.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,50.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,80.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,100.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,150.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,200.0,75.0,1,0.004166666666666667,45.0,0.0005109360508818409,0.0005109360508818409,0.0005109360508818409
normal,20.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,30.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,50.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,80.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,100.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,150.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,200.0,75.0,2,0.004166666666666667,45.0,0.0005109360508818402,0.0005109360508818402,0.0005109360508818402
normal,20.0,75.0,3,0.004166666666666667,45.0,0.0005109360508818405,0.0005109360508818405,0.0005109360508818405
